
208.67.222.222 , Queries Sent: , Queries Completed: , QPS: , Avg Latency: 
2.195.131.57, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.193.128.198, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.38.234.250, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.193.66.206, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
194.153.131.18, Queries Sent: 3145, Queries Completed: 3045, QPS: 608.987333, Avg Latency: 0.016499
2.197.112.210, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.194.193.93, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.193.67.120, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.40.191.82, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.37.193.246, Queries Sent: 105, Queries Completed: 5, QPS: 0.999976, Avg Latency: 0.085133
2.40.162.20, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.40.162.19, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.196.163.168, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.195.226.29, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.36.64.241, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.193.0.230, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.193.67.151, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.112.85.178, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.40.198.150, Queries Sent: 10832, Queries Completed: 10832, QPS: 2082.199997, Avg Latency: 0.033869
2.196.97.235, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.32.173.34, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.40.81.162, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.193.65.9, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.40.12.198, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.40.17.144, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.192.129.73, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.196.97.154, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
212.19.96.2, Queries Sent: 11070, Queries Completed: 11069, QPS: 2127.970849, Avg Latency: 0.025764
2.192.162.149, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.195.133.7, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
62.149.128.4, Queries Sent: 1688, Queries Completed: 1664, QPS: 302.022407, Avg Latency: 0.230358
2.193.37.243, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.40.187.99, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.196.96.251, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.193.97.27, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
2.195.231.45, Queries Sent: 100, Queries Completed: 0, QPS: 0.000000, Avg Latency: 0.000000
